partner_id,year,month,num_diapers,num_babies,id
12,2025,May,1727,,928db5d1-9dd6-48b2-b469-ee90c1b61109
11,2025,February,1366,,9497d4bb-1056-4433-ab04-1c68da6d9a72
7,2026,January,3806,,96a1907c-c101-4149-8fed-ec43664a15b9
8,2025,September,2811,,96e6e56e-6ece-4437-ae14-b8594459cb06
5,2025,March,2953,,9a9f7f2c-ca46-4176-8b9d-9602de23d955
6,2026,March,4986,,9c151eed-969a-4cb7-a326-80497ce68d5c
2,2025,June,5284,,9e99b183-704f-48f4-b7d0-8ea8da6f3d08
7,2025,November,4744,,9edac494-54b3-44a3-9e46-3eab876cd5dd
13,2025,May,331,,a0758f10-7b21-482f-be7e-3bebb2319635
10,2026,February,1606,,a12a6037-4cc1-40d7-980e-3a2b7de29ab4
3,2025,June,4402,,a146a78f-ac71-41aa-b2bc-76e69b15961c
11,2025,January,2212,,a1ce3de5-89ad-4f81-b1a8-0fa5e3da50f2
13,2025,August,1505,,a591cd7c-0fd7-4949-a1d6-24674eba5252
12,2025,June,1564,,a63a0c70-f04d-45b0-ae01-7bb679bd3b08
3,2025,October,3088,,a685525c-1460-4f16-aea2-19fb17745d83
13,2025,June,1505,,a6d38fd2-9e2f-47d3-9831-c8497941c46a
1,2025,April,4157,,ab241625-ef31-404d-a9da-3684b8ed8a0b
9,2026,January,1989,,ab6a404b-5dea-4ad1-8e31-d6682e7d5465
6,2026,February,10608,,aba11e04-ab22-4a4e-a065-f075982a84aa
9,2025,February,575,,ae62d257-13f4-4ae8-9f4a-f65c8ebef31f
6,2025,April,6308,,ae647836-957e-41b0-abae-4c4c45a5815d
8,2026,March,2904,,aee427ed-97fc-493f-80cb-4d6605dcde79
12,2026,February,1715,,af486d47-f353-4fc1-a63f-66c0c87a2e68
64,2025,December,1623,,af4c5f29-272d-455a-9cb8-1e8793a8a6a7
10,2025,September,1495,,b02536c9-2f45-4018-9726-49120e0f9f79
64,2025,July,3750,,b0856458-eb9c-4599-b6d6-7f339c38868b
10,2025,July,1520,,b16964f0-173e-4dea-b8ba-6fb9816e71f3
1,2025,February,5776,,b2928446-53be-4aad-bfe4-c98f78f39752
2,2025,September,6245,,b351c8a2-9f78-48ec-b19b-a2d3d76b6b93
11,2025,May,2001,,b5bc873d-2ca5-4858-acbe-36d86bca3223
8,2025,October,1989,,b6c2f2a9-1075-4a57-9c0e-5911802cff42
10,2025,May,1300,,ba5e622b-cd66-4d99-a5c7-9bb5a5c95fa1
5,2025,December,3838,,bb045055-b77f-453f-9de6-4a23447fe8cf
13,2025,January,1430,,bb62888a-2faf-42a8-95e1-7d8be3ca9eb6
5,2026,February,4192,,bdf2819a-d2dd-4153-906b-73828ec8116d
8,2026,February,2817,,be895b0c-5791-4577-9821-f2ec954b85f5
8,2025,May,3400,,c82085ac-0849-4528-9b39-fe3e175be17d
5,2025,September,3522,,c908c3fd-1a59-4f50-ae66-97d16b3b7652
13,2026,January,801,,cbfb57fa-fcac-4e74-854b-5903a6e72c21
5,2025,February,3966,,cd97ce7b-b1f6-4667-9d3a-e61ee78aeec4
12,2025,August,3691,,cda30405-e592-4347-9b89-5ef44a7f8d9b
4,2026,January,4121,,ce9d802a-0cd3-488e-b9d3-3e2a2c0a383a
4,2025,December,4142,,d0043cbd-82bc-49e6-b418-b32b2bf27300
9,2025,April,800,,d65b49f3-957f-4c52-8c65-9da20338dea0
3,2026,February,4556,,d6cd0402-efce-4f54-a3ca-3f755ab4c814
12,2025,October,1602,,d6eb594b-7672-4518-a1a5-7df0ff48fcd4
10,2025,November,2003,,d6f19d30-f08b-4707-b082-402cbd2028b6
8,2025,June,3781,,da10953f-eca5-4a41-9aad-5fb1431c53b7
1,2025,May,4437,,ddb0eb2c-d519-4965-873e-1c3a6732b7a9
9,2025,September,1595,,e1d57717-5b18-45b4-8350-6b004f859f59
3,2025,December,4577,,e2479e23-324f-496c-a322-9f2927bb54b9
4,2025,August,2641,,e3b7ead1-e609-4fdc-b2a5-ee51570a3522
8,2025,March,1616,,e3e1438e-2cd0-4ec4-81f0-1f31b1eb7f08
4,2025,January,3206,,e56a6b46-7044-41bc-a4b5-3919493bf16a
6,2026,January,3850,,e778e1eb-608f-4c9e-b867-7e172358aeb1
13,2026,March,404,,e7e54b8c-a25e-4a5c-9379-444d98cb5d6a
4,2025,February,3632,,e7f3efe8-998b-4cb7-b031-6a4f7e510d52
1,2025,November,8502,,e8735af9-8b96-4183-9d55-f0894debe45e
3,2025,May,4970,,e8f69ec2-6f69-4c0c-a62f-490e6ed34feb
8,2025,August,600,,f3a60509-1306-427b-850f-7efafd96e944
5,2026,March,4480,,f4a83ad9-a7a5-4a21-8f60-48b95e48254e
1,2026,March,7540,,f4b6f6c6-6cd5-4112-ac79-e383dfa0ba02
8,2025,December,2327,,f51e31de-e807-4260-84c7-692c2ebee047
10,2026,March,2021,,f5855a7e-5ed2-473b-8ba2-8719145d37a5
7,2025,December,4334,,f58739ae-e418-4fc3-a893-d47c8984d916
6,2025,August,4705,,f7b2bda2-3e58-43fe-a5ee-e3c4d30c3010
7,2025,October,3334,,fba08655-4504-4f01-a00f-a56f7ee2ee8a
3,2025,September,5629,,fbf85f18-f41f-4bef-8ffb-5bf4fd61a9ba
9,2025,August,1464,,fcadc469-49e7-4967-9286-b33fa1fe45f6
12,2025,March,1952,,fd5cbe16-f339-4f1f-99bd-71e56675d0ec
