id,created_at,name,description,start_partner,address,coords,logo_url,end_partner,status,num_babies
11,2026-03-04 14:44:46.849+00,Watertown Food Pantry,"The Watertown Food Pantry offers weekly food distribution for residents experiencing financial stress. Alongside groceries, the pantry provides diapers and personal-care items to help families meet essential needs. Their program relies on strong volunteer engagement and consistent community donations. The pantry�s mission emphasizes dignity, confidentiality, and neighbor-to-neighbor support. Over time, it has become a reliable safety net for Watertown households.",2025-01-29,,"{""lat"":42.3661,""lng"":-71.1789}",https://content.civicplus.com/api/assets/e3e0dfb8-75ce-4bfe-8987-27b0ff4ea994?cache=1800,,active,50
12,2026-03-04 14:44:46.849+00,WeeCare,"WeeCare focuses on supporting families with infants and toddlers by providing diapers, wipes, and early childhood essentials. Their programs help reduce the severe financial burden associated with diaper need, especially for low-income households. WeeCare works with local service agencies to reach families who may not have access to traditional support systems. They emphasize compassion, accessibility, and reducing stigma around requesting help. Their efforts help ensure that every baby has the resources necessary for healthy development.",2022-01-01,,"{""lat"":42.4745,""lng"":-71.1037}",http://www.weecareforlittlepeople.com/uploads/9/9/7/4/99741910/published/weecare-alternate-logo-2_1.png?1506009170,,active,15
13,2026-03-04 14:44:46.849+00,Woburn Council of Social Concern,"The Council of Social Concern serves Woburn and surrounding communities through its food pantry, early education center, and family-support programs. Their pantry distributes diapers and household necessities alongside groceries, relieving pressure on families with young children. The organization also offers parenting programs and child-care services that strengthen family stability. With a focus on compassion and practical assistance, the Council has been a trusted resource for decades. Partnerships with regional nonprofits help them expand their reach and impact.",2025-01-29,,"{""lat"":42.484,""lng"":-71.1528}",https://www.socialconcern.org/wp-content/uploads/2020/03/logo-NEW2020_Horizontal-copy-300x109.png,,active,18
14,2026-03-04 14:44:46.849+00,Riverside Early Headstart,"Riverside Early Head Start provides comprehensive early childhood and family support services to infants, toddlers, and expectant parents. Their programs focus on strengthening child development, promoting school readiness, and supporting families with social, emotional, and economic needs. Through home-based visits and center-based care, Riverside offers individualized developmental support and access to health and nutrition resources. Families can also receive diapers and other essentials as part of their holistic services. The organization emphasizes equity, family empowerment, and early intervention to ensure every child has the foundation they need to thrive.",,,"{""lat"":42.2489,""lng"":-71.1703}",,,waitlisted,
15,2026-03-04 14:44:46.849+00,United South End Settlement,"United South End Settlements is a long-standing Boston nonprofit dedicated to supporting children, families, and communities through education, workforce development, and social-service programs. USES focuses especially on breaking the cycle of poverty by giving families access to childcare, youth enrichment programs, and economic-mobility services. Many families served face significant financial strain, and USES helps meet basic needs by distributing essentials such as diapers. Their family-centered model promotes stability, growth, and long-term opportunity. With deep community roots, USES plays a key role in strengthening the social fabric of the South End and surrounding neighborhoods.",,,"{""lat"":42.3438,""lng"":-71.0715}",,,waitlisted,
16,2026-03-04 14:44:46.849+00,Kataluma Refugee Hospitality,"Kataluma Refugee Hospitality provides temporary housing, community support, and relational care for individuals and families seeking asylum or transitioning out of refugee status. Their hospitality homes create a safe, stable living environment where guests can rebuild their lives with dignity. Kataluma partners with volunteers, faith communities, and social-service organizations to offer mentorship, case support, and essential items�including diapers for families with young children. Their model centers on compassion, cultural understanding, and empowerment. By fostering community connections, Kataluma helps refugees establish independence and belonging in the Greater Boston area.",,,"{""lat"":42.3882,""lng"":-71.0954}",,,waitlisted,
17,2026-03-04 14:44:46.849+00,Gandara Center,"The G�ndara Center offers behavioral health, substance-use treatment, and family-support services to culturally diverse communities across Massachusetts. Originally founded to serve the Latino community, the organization now provides multilingual, culturally responsive care to individuals of all backgrounds. Their programs include outpatient counseling, residential treatment, youth services, and family-stabilization support. Families facing financial hardship may also receive basic necessities such as diapers and hygiene items. The G�ndara Center is committed to promoting wellness, recovery, and resilience through accessible and inclusive care.",,,"{""lat"":42.0906,""lng"":-72.5201}",,,waitlisted,
18,2026-03-04 14:44:46.849+00,BHN Family Resource Center,"Phoenix House New England provides comprehensive residential and outpatient services for individuals recovering from substance-use disorders. Their programs support adults, teens, and families through evidence-based treatment, counseling, and recovery-support services. Many clients are parents working toward stability, and Phoenix House helps meet practical needs�including diapers for young children�to reduce stress during recovery. Their person-centered approach emphasizes dignity, long-term healing, and family reconnection. As one of the region�s major treatment networks, Phoenix House plays a vital role in addressing addiction and supporting community wellness.",,,"{""lat"":42.2951,""lng"":-71.7743}",,,waitlisted,
19,2026-03-04 14:44:46.849+00,Allways Health,"AllWays Health Partners (formerly Neighborhood Health Plan) is a Massachusetts-based health insurance provider offering affordable, community-focused coverage. In collaboration with healthcare systems and community organizations, AllWays supports families by connecting them to essential services, preventive care, and wellness programs. Their commitment to health equity includes supporting initiatives that address social determinants of health, such as food security and diaper need. By partnering with local nonprofits, AllWays helps broaden access to critical resources for families with young children. The organization emphasizes high-quality care, customer support, and community impact.",,,"{""lat"":42.3621,""lng"":-71.1139}",,,waitlisted,
20,2026-03-05 17:43:08.693817+00,Baycove,,,,,,,waitlisted,
21,2026-03-05 17:50:49.537794+00,Conley Elementary School,,,,,,,waitlisted,
22,2026-03-05 17:50:49.537794+00,Pleasant Street Seventh Day Adventist,,,,,,,waitlisted,
23,2026-03-05 17:50:49.537794+00,CH Alliance,,,,,,,waitlisted,
24,2026-03-05 17:50:49.537794+00,"Waltham Creative Start, Head Start",,,,,,,waitlisted,
25,2026-03-05 17:50:49.537794+00,Healthy Waltham,,,,,,,waitlisted,
26,2026-03-05 17:50:49.537794+00,EDEN,,,,,,,waitlisted,
27,2026-03-05 17:50:49.537794+00,Whittier Street Health Center,,,,,,,waitlisted,
28,2026-03-05 17:50:49.537794+00,Bamsi,,,,,,,waitlisted,
29,2026-03-05 17:50:49.537794+00,Boston Childrens,,,,,,,waitlisted,
30,2026-03-05 17:50:49.537794+00,Foxboro Public Safety,,,,,,,waitlisted,
31,2026-03-05 17:50:49.537794+00,Charity Guild,,,,,,,waitlisted,
32,2026-03-05 17:50:49.537794+00,Children's Services of Roxbury For Holiday Inn and Norwood Site,,,,,,,waitlisted,
33,2026-03-05 17:50:49.537794+00,Lowell Alliance,,,,,,,waitlisted,
34,2026-03-05 17:50:49.537794+00,Saheli Boston,,,,,,,waitlisted,
35,2026-03-05 17:50:49.537794+00,BMC-Refugee Women's Health Clinic,,,,,,,waitlisted,
36,2026-03-05 17:50:49.537794+00,Old Colony YMCA,,,,,,,waitlisted,
37,2026-03-05 17:50:49.537794+00,Saint Vincent de Paul (SVdP) Society for the Archdiocese of Boston,,,,,,,waitlisted,
38,2026-03-05 17:50:49.537794+00,Zion Eearly Learning Center,,,,,,,waitlisted,
39,2026-03-05 17:50:49.537794+00,Project R.I.G.H.T Inc.,,,,,,,waitlisted,
40,2026-03-05 17:50:49.537794+00,LifeScene,,,,,,,waitlisted,
41,2026-03-05 17:50:49.537794+00,Mary Ann Brett Food Pantry,,,,,,,waitlisted,
42,2026-03-05 17:50:49.537794+00,Natick Service Council,,,,,,,waitlisted,
43,2026-03-05 17:50:49.537794+00,Boston Children's Hospital- Primary Care,,,,,,,waitlisted,
44,2026-03-05 17:50:49.537794+00,FamilyAid,,,,,,,waitlisted,
45,2026-03-05 17:50:49.537794+00,YWCA Cambridge Shelter,,,,,,,waitlisted,
46,2026-03-05 17:50:49.537794+00,Children's Services of Roxbury,,,,,,,waitlisted,
47,2026-03-05 17:50:49.537794+00,"RISE ",,,,,,,waitlisted,
48,2026-03-05 17:50:49.537794+00,Medford Family Network,,,,,,,waitlisted,
49,2026-03-05 17:50:49.537794+00,ABCD Boston,,,,,,,waitlisted,
50,2026-03-05 17:50:49.537794+00,YMCA Boston,,,,,,,waitlisted,
51,2026-03-05 17:50:49.537794+00,"North Shore Community College ",,,,,,,waitlisted,
52,2026-03-05 17:50:49.537794+00,Heartbeat Pregnancy Help Center,,,,,,,waitlisted,
53,2026-03-05 17:50:49.537794+00,Mamas Unidas,,,,,,,waitlisted,
54,2026-03-05 17:50:49.537794+00,Eliot Early Intervention in Malden/Medford/Everett,,,,,,,waitlisted,
55,2026-03-05 17:50:49.537794+00,Tufts General Pediatrics,,,,,,,waitlisted,
56,2026-03-05 17:50:49.537794+00,Keeping Pace with Multiple Miracles,,,,,,,waitlisted,
57,2026-03-05 17:50:49.537794+00,Legal Service Center of Harvard Law School,,,,,,,waitlisted,
58,2026-03-05 17:50:49.537794+00,InnerCity Weightlifting,,,,,,,waitlisted,
59,2026-03-05 17:50:49.537794+00,Post Partum Services - MAPC - North Suffolk Public Health Collaborative,,,,,,,waitlisted,
60,2026-03-05 17:50:49.537794+00,Franklin Hill Tenant Association,,,,,,,waitlisted,
61,2026-03-05 17:50:49.537794+00,East Boston Community Soup Kitchen (EBCSK),,,,,,,waitlisted,
62,2026-03-05 17:50:49.537794+00,Dewitt Center-Madison Park Development Corporation,,,,,,,waitlisted,
63,2026-03-05 17:50:49.537794+00,North Reading Food Pantry,,,,,,,waitlisted,
